,id,author.name,text,created_at,protest,tweet_type,predicted_label,score
117984,1488285892347404294,Andreas Müller,"@Tafel_DE @AufstandLastGen Vielen Dank für die Klarstellung, aber das es die AfD mit Fakten nicht so hat ist ja leider bekannt. \nEs ist schon beschämend überhaupt auf so eine Idee zu kommen!",2022-01-31,lastgen,retweet,offensive,0.9463247060775757
34040,1506899914256785413,🐝 𝔼𝕄𝕄𝔸 🌸,"Eine Musikerin darf nicht bei einer Demo von #FridaysForFuture #Hannover mit #Dreadlocks auftreten, wegen ""kultureller Aneignung"".\n\nWas für ein wirrer Quatsch.\n\nAlso auch kein Hiphop mehr von Weißen oder Arabern?\nKein Jazz, kein Yoga mehr in Europa?\n\n1/2 https://t.co/vzL8BsAPeZ",2022-03-24,fff,retweet,offensive,0.5898141860961914
64015,1598974813124468736,Puckis_welt,@AufstandLastGen Ein Vater zum schämen 🙈,2022-12-03,lastgen,reply,offensive,0.7799277901649475
98744,1564303661370671104,Lutz Koenig,"Bei Zerstörung von Kulturgut durch die „Letzte Generation“ ist auffällig, dass sie stets von Profi-Fotografen aufgenommen wird. Noch auffälliger ist es, dass sich offensichtlich Fotografen, die für dpa fotografieren, in Dienst der Chaoten stellen. https://t.co/DrnHRYQHHp",2022-08-29,lastgen,retweet,offensive,0.5393223762512207
47017,1607303709763194881,Dieter Tillmann,"Deutschland wütet, weil die Letzte Generation bei einem Gottesdienst für Klimaschutz protestieren wollte. Welch Sakrileg!\n\nAm 08.01.2018 wurde der Immerather Dom für den Braunkohletagebau abgerissen. Einfach so.\n\nDa hat von euch Heuchlern keiner mit der Wimper gezuckt.",2022-12-26,lastgen,retweet,offensive,0.8121898174285889
81532,1589550908215418881,Arnold Hau,"@AufstandLastGen Diese kriminellen Klimasektenjünger #KlimaRAF haben sehr potente Finanzierer wie z.B. den Climate Emergency Fund, der von Leuten Getty mit Geld gefüllt wird. Die haben keine Spenden nötig!\nhttps://t.co/Y11100P7A3",2022-11-07,lastgen,reply,offensive,0.8272895216941833
99773,1562483205092962304,Mr. Unbequem FREIHEIT 🙏🇹🇷🇸🇾🙏,@Raklazz @lkarlx @tricksiebzehn1 @nileon09 @AufstandLastGen Das Verhalten ist dumm.,2022-08-24,lastgen,reply,offensive,0.8144274950027466
105386,1542248054782304256,Linksextremer Rechtspopulist,"Bin absolut nicht einverstanden mit Aktionismus von ""Letzte Generation "". Aber Tatsache ist, dass die Autofahrer verhindern es indem sie keine Rettungsgassen bilden und nicht Aktivisten. Ich als Autofahrer konnte schon lange deshalb kotzen,  bevor sie gab.d https://t.co/GkcPeRLvFi",2022-06-29,lastgen,quote,offensive,0.5660020112991333
111966,1516900624117473280,@radler52@mastodon.social,"Sehr geehrte Bundesregierung,\n\nwir finden es schade, dass Sie auf unser dringendes Anliegen, unser Überleben und das Bestehen der Zivilisation zu schützen, in unserem letzten Brief vom 30. März 2022 nicht reagiert haben.",2022-04-20,lastgen,retweet,offensive,0.5126052498817444
17987,1552924392937635840,türmchenbauer tom,No Time Left For Blah  Blah Blah\n#FridaysForFuture ⁦@Riseupmovt⁩ https://t.co/aOFZnCafYK,2022-07-29,fff,retweet,offensive,0.8009687662124634
72006,1594617420475518976,Denis Güll,@AufstandLastGen @SciReb_Germany @EndFossilBerlin @endfossil @Debt4ClimateDE @AlleDoerfer @ausgeCO2hlt @FfF_Magdeburg @ZDFmagdeburg @spd_lt_lsa @MWU_LSA Wie heißt friedlich? Ihr seid Straftäter.,2022-11-21,lastgen,reply,offensive,0.5132609009742737
58574,1601640708091555847,Audrey,Lukrativer Werbevertrag \n#LetzteGeneration #Klimakleber \n#Priebshow #Satire https://t.co/NTcWMuqCul,2022-12-10,lastgen,retweet,offensive,0.6799246668815613
115346,1495156695294697473,Roy_23,"@AufstandLastGen @DanniPilger @carla_hinrichs_ Es ist wirklich unerträglich. Und bitte hört auf so zu tun, als würdet ihr für eine ganze Generation sprechen. Das tut ihr nicht, ihr sprecht lediglich für einen sehr kleinen Teil von Spinnern.",2022-02-19,lastgen,reply,offensive,0.8873488306999207
95498,1580827271622844416,the Real Psycho 🇺🇦,@AufstandLastGen Andere Menschen in einen Stau zu ZWINGEN ist Gewalt. Alle hassen euch.,2022-10-14,lastgen,reply,offensive,0.7188875079154968
27527,1517606097053442048,squattypotty,@plurality2022 @louismotaal @Patsyip_ @ilyess_ek @MakichyanA @FFF_Berlin @Luisamneubauer ich reisse mir den arsch auf tagtäglich. und dieser jungspund faulenzt.,2022-04-22,fff,reply,offensive,0.5797153115272522
11147,1573271234745438212,Ero Famoso,"Imbrattata la sede della Regione Marche ad Ancona con il fango dell'alluvione. E' la protesta, durante una manifestazione di Fridays For Future, per la mancata allerta e la gestione dell'ondata di maltempo che ha provocato 11 vittime e ingenti danni #ANSA https://t.co/ayZm4DK470 https://t.co/b9WZAB0RUK",2022-09-23,fff,retweet,offensive,0.6026681065559387
92914,1584437465665794048,🔴🤦🍅🥔➡️🪟🖼️ @fitzebutze@troet.cafe,@Hoellenaufsicht @rasenspiesser @AufstandLastGen @ClimateHuman @ScientistRebel1 @Janefonda @MarkRuffalo @InsulateLove @TerliWetter @BlockadeAus @GeorgeMonbiot @OwenJones84 Belastend ist die kollektive Untätigkeit angesichts einer Menschheitskatastrophe.\n#Klimakatastrophe #Klimawandel,2022-10-24,lastgen,reply,offensive,0.8583824634552002
30584,1509153756453253123,Michael Speier,"Vor 2 Jahren wurde Fridays For Future ausgelacht und für verrückt erklärt weil wir gesagt haben, dass Öl &amp; Gas KEINE Alternativen sind. Heute lacht niemand mehr. Wie lange dauert es, bis ihr anerkennt, dass man mit der Klimakatastrophe grundsätzlich keine Kompromisse machen kann?",2022-03-30,fff,retweet,offensive,0.6120014786720276
65227,1597717348668301312,Rudolf Gottfried ™️ 🥝 Fuck TB! 🖕,"@AnnikaJoeres @AufstandLastGen Wow, wie dumm Sie sind. Das ist nur das übliche unterkomplexe #Zeitgeist-Geschnatter einer Kulturschaffenden. Gratismutig und völlig belanglos.\nUnd eine “Weltgemeindschaft” gibt es ebenso wenig wie Weltfrieden. 🙄",2022-11-29,lastgen,reply,offensive,0.6952851414680481
67705,1596232463759859713,BuntundKindermund,Drüben auf #LinkedIn macht sich Einsicht breit. Der Hass gg + der Versuch der #Kriminalisierung von friedlichen Aktivist*innen bewirkt am Ende des Tages das Gegenteil! Das wird immer mehr Menschen klar und bald werden es Gerichte noch mal unterstreichen. #LetzteGeneration #rafdp https://t.co/fSLtwITTZY,2022-11-25,lastgen,retweet,offensive,0.7711702585220337
49705,1605798874576064513,peter meisenstein 🦠🦠🏳️‍🌈🇩🇪,Euer Verfickter Ernst ?\n\nIhr begeht Straftaten und wundert euch dann wenn der Staat seine Mittel ausschöpft um seine Bürger zu schützen ?\n\nIst das wirklich euer dreckiger verfickter Ernst ? https://t.co/N7jSfgeUis,2022-12-22,lastgen,quote,offensive,0.6966100335121155
90911,1585725932379475968,der Sven von nebenan,"@AufstandLastGen Das ist ärgerlich. Das ist wirklich ärgerlich! Wir hatten die Kachel erst für morgen geplant, aber Ihr zwingt uns dazu, sie jetzt zu veröffentlichen. Wir wollen nicht hier sein, wir müssen aber, sonst gibt die Bundesregierung am Ende noch nach und uns entgeht dann Stoff. https://t.co/HSrDd2oInW",2022-10-27,lastgen,retweet,offensive,0.953031063079834
70109,1595807826613526529,Chico Mendez,@AufstandLastGen @SciReb_Germany @Bundeskanzler @OlafScholz 🤣der Typ gehört in die Klappse,2022-11-24,lastgen,reply,offensive,0.5349770188331604
105260,1542506315007664128,ChaosFractal ∞/21M,@walter_weyland @AufstandLastGen Narrative verbeiten ist die Lieblingsbeschäftigung von Ölgesichtern:\nhttps://t.co/n2k2uCpwqj,2022-06-30,lastgen,reply,offensive,0.5043456554412842
72924,1593764430696763393,HGSchBernard ن,"Was ich gestern schrieb - daß die Klima-Terroristen von Medien und Politik gedeckt werden und nur als Einpeitscher fungieren - auf das Schönste bestätigt durch diesen Text von @AdahamBoos zur Verniedlichung der ""Aktivisten"" durch den Verfassungsschutz.\nhttps://t.co/daLCVCH7Sk",2022-11-19,lastgen,retweet,offensive,0.5399633049964905
80137,1590258055349907456,Hans Meier,"Das muss man sich erstmal auf der Zunge zergehen lassen. Die Polizei sieht, dass die #LetzteGeneration offensichtlich eine Straftat begeht. Und was macht die Polizei? Fährt einfach weg. Damit macht Ihr euch zu Mittätern.https://t.co/GKuoCKNSq6",2022-11-09,lastgen,retweet,offensive,0.7292284369468689
89338,1587133367534886912,Caius,"@AufstandLastGen Ihr könnt schreiben, was Ihr wiollt, Ihr seid menschenverachtendes Gesindel.\n\nSo geht kein Klimaschutz.\n\nhttps://t.co/uz18GoVYcw",2022-10-31,lastgen,retweet,offensive,0.8933359980583191
109758,1528640058286284801,Ulrike Beudgen fediverse: #Piratenpolitik,"Fassungslos lesend\nSchaut hier mal nicht weg. #letztegeneration #KlimakatastropheIstJetzt \nDie Dummheit der Reichen \nDie Reichen der Welt täten gut daran, lieber an der Rettung der Menschheit mitzuarbeiten – in ihrem eigenen Interesse. \nhttps://t.co/HcLBXCBo9A",2022-05-23,lastgen,retweet,offensive,0.539129912853241
64459,1598595670495076352,Bille⚡🔥💫,Die Aggression gegen #LetzteGeneration verschärft sich weiter. #Klimaaktivisten werden kriminalisiert. Von bürgerlicher #Mitte im trauten Einklang mit rechtem Rand. \n\nDie eigentlich Kriminellen aber werden geschützt! Klimazerstörende Konzerne und ihre Lobbyisten in der Politik. https://t.co/cYKtyJ5EFd,2022-12-02,lastgen,retweet,offensive,0.585874617099762
101668,1549676934258462721,Jörn Sielemann,"@bullenpoebler @mara_bakery @AufstandLastGen @elhotzo 😂😂 warum auf einmal? Ich sag die ganze Zeit das die Intention gut ist die Ausführung aber mehr als scheisse. Lern doch erstmal lesen und verstehen, dann können wir uns unterhalten.",2022-07-20,lastgen,reply,offensive,0.8118860721588135
29441,1512340287494008836,JennyH,"#FridaysForFuture Week 82\n\nYesterday 1,000 scientists worlwide engaged themselves in civil disobedience calling 4 revolutionary economic system change 2 avoid #ClimateExtinction.If 1 of the main climate experts in the🌏,😭choking up as he says“we’re aiming 4 a f*cking disaster""🧵 https://t.co/5ReRSV1ryD",2022-04-08,fff,retweet,offensive,0.6737846732139587
84469,1588548235467325440,#ExileAltonaian - HH (🖤An✊🏻Ti✊🏿Fa❤) 💙☮💛,"Was ist nur los mit Deutschland? Ein Betonmischer überfährt eine Fahrradfahrerin. Das ist schrecklich. Aber es war der Betonmischer, nicht die Letzte Generation! Wieviele Menschen sterben in Deutschland, weil das Auto im Mittelpunkt unserer Städte steht und nicht der Mensch.",2022-11-04,lastgen,retweet,offensive,0.9686028957366943
87903,1587898158130118729,Dr. Schpeckhardt von Fetthausen,"@Oetzbat @AufstandLastGen Sie irren, die sind Legion, befinden sich zu großen Teilen aber aktuell in der Repressions-Beuge-Einzel-Isolations-Folter-Haft der BRD. #Widerstand PS: Biene mit IE. Wichtig, sonst peinlich.",2022-11-02,lastgen,reply,offensive,0.5639777183532715
84283,1588567416061440001,Mahi,"Nie vergessen: das grüne Bundeswirtschaftsministerium unterstützte die #LetzteGeneration mit Fördergeldern in Höhe von 156.420 Euro. Der Steuerzahler finanziert die #Klimaterroristen, die jetzt ein Todesopfer auf dem Gewissen haben. Die gehören in Haft, nicht finanziert!",2022-11-04,lastgen,retweet,offensive,0.6033432483673096
48456,1606564304093847552,Schwanennest,"@jakobsblog @AufstandLastGen Nuhr trifft den Nagel auf den Kopf. Er besitzt gesunden Menschenverstand,  dass da die Intelligenz-Allergiker jaulen ist verständlich.",2022-12-24,lastgen,reply,offensive,0.8156126141548157
90225,1586544311520436224,Detlef Groß,@AufstandLastGen Und spätestens jetzt sollte ein LKW kommen und nicht mehr bremsen können!!! Zu verlockend dieser Gedanke!!!!,2022-10-30,lastgen,reply,offensive,0.5098353028297424
113177,1514281861064888323,Chris,"@HeadSoccer_Main @AufstandLastGen Richtig, sie haben kopfschüttelnd darüber nachgedacht, dass es in der heutigen Zeit immer noch genügend Sektenidi*ten gibt. Das haben die Typen bewirkt, nichts anderes!",2022-04-13,lastgen,reply,offensive,0.634967565536499
69119,1596006014218031104,FR OTTILI,"Wie kann es sein, dass sich Kriminelle am BER mit einer Heckenschere Zugang zur kritischen Infrastruktur verschaffen? Man fragt sich, wie gut Berlin auch vor Terror gesichert ist. Die #LetzteGeneration wird immer gefährlicher. Die Täter müssen endlich Konsequenzen spüren.",2022-11-25,lastgen,retweet,offensive,0.5461862683296204
89337,1587133487424962561,Pascal Zeth,@f1retheg4mer @AufstandLastGen @ScientistRebel1 Wen hab ich bitte Gewalt angedroht ? 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 sorry also jetzt wird es lächerlich,2022-10-31,lastgen,reply,offensive,0.7863433957099915
26447,1521513910079303686,netzfrauen☮️,"Es ist erschreckend, denn statt den Klimawandel zu stoppen, Industriestaaten und Konzerne setzen auf den Klimawandel! Die Plünderung der Arktis auch für #Erdgas u. #Erdöl\nhttps://t.co/OfW8B8pKzz\n#Ukraine #LNG @fff_digital",2022-05-03,fff,original,offensive,0.9272199869155884
40335,1491818424057491456,Official #EndSARS Bot,https://t.co/ZbjMx2ZHuP of deciding whether he should pay the price #BorisLies #PeopleDie #ImmoralLeadership #EndSARS #FridaysForFuture #BetrayedVotersTrust \n#Corruption #Cronyism #Fraud #Sleaze #IncompetentGovernment #DumpBorisTrump #JohnsonOut17 #Deception #NoShame,2022-02-10,fff,retweet,offensive,0.6476208567619324
100571,1556877397487648770,Alexandra,Was sagen unsere Klimahüpfer und die letzte Generation zu der größten Umweltverschmutzung seit Menschengedenken???? Das wird noch eine richtige Katastrophe werden. Aber egal hauptsache der Gehorsamkeitsfetzen sitzt.\n#MaskensindkeinmildesMittel https://t.co/oGvvxw6Pza,2022-08-09,lastgen,original,offensive,0.8338653445243835
100452,1558041689029222400,⚜️ Bobba Fett ⚜️ 💙 🇩🇪 🇮🇱 🇺🇸 ⚖🏴‍☠️🏁🆓 🐀,"@Frentzhart2 @AufstandLastGen Ich bin Empört! - Von der Dämlichkeitswelle in der ""Wissenschaft""!",2022-08-12,lastgen,reply,offensive,0.8289733529090881
66140,1596863540375457792,Ahmed Paul Degenhardt,"@AufstandLastGen Frei nach den Blues Brothers ""Die Anwendung unnötiger Gewalt bei der Ergreifung der AufstandLastGen ist genehmigt worden. - Gefunden auf: https://t.co/IwgA7YVOGb",2022-11-27,lastgen,reply,offensive,0.5544191002845764
30574,1509190092769869827,Sinchen von und zu,"Auf der Sponti zum unsäglichen OVG-Urteil zu #Luetzerath mit @fff_muc (merci fürs Organisieren!!), @EG_Muenchen, @MucRebellion &amp; @klimaguerilla - #LuetziBleibt #Luetzerathbleibt https://t.co/SldwCMA0AR",2022-03-30,fff,retweet,offensive,0.962157130241394
67786,1596217775084769287,BananaJoe 🍌,@Beatrix_vStorch @AufstandLastGen Welcher Straftat-Bestand von 315 StGB soll denn hier erfüllt sein? Dieser Tweet wird doch wohl nicht nur wieder sinnbefreite Hetze sein?! 😉😘,2022-11-25,lastgen,reply,offensive,0.6873509287834167
4639,1587384257273643011,Gerd 🇪🇺🇵🇸🇺🇦 🏳️‍🌈🌍@GerdLende@oslo.town,Tim Louis: A dire warning about the end of human civilization due to climate feedback loops\n\n@PCarterClimate\n\nhttps://t.co/GIVQnzZjTG\n\n#FridaysForFuture\n#ClimateCrisis\n#ClimateStrike\n#ClimateDenial\n#EndFossilFuels\n#ClimateTalk\n#stopfossilfuel\n#ClimateChange\n#SavetheBees,2022-11-01,fff,retweet,offensive,0.8235355019569397
60991,1600499494541529088,Micha übersteht Winter ❄️,"Entwarnung! Reichsbürger planten nur bewaffneten Umsturz, hatten aber nicht vor, sich irgendwo festzukleben \n#Razzia #Reichsbürger \nhttps://t.co/qiQnwchR94",2022-12-07,lastgen,retweet,offensive,0.5335234999656677
427,1606921476514656256,Progressive Global Commons,"Week 121. Finnish forestry is bad for the climate, biodiversity and people. What Finland has is a lot of plantations and hardly any natural and old-growth forests. Finland must stop harmful forestry practices and protect and restore more forests. #FridaysForFuture https://t.co/lLvdvlJGNh",2022-12-25,fff,retweet,offensive,0.6714541912078857
93630,1584201926128054273,gurbetci kartal,"@undalleso_yeah @herrMartin @sixtus @AufstandLastGen Wird die Umwelt besser, wenn man Katroffelbrei auf Gemälde kippt? Das ist Essensverschwendung und dumm. Findet bessere Wege für Aufmerksamkeit",2022-10-23,lastgen,reply,offensive,0.6107564568519592
100287,1560579232694419457,silas vegas,@Jogamod @RaphaelKnipping @AufstandLastGen Strafen für Beamte? Wo und wann?\n\nUnd wozu Selbstschutz gegen eine friedliche Sitzblockade? Das ist absolut absurd.\n\nWenn mildere geeignete Mittel zur Verfügung stehen (Wegtragen z.B.) sind die zu wählen.,2022-08-19,lastgen,reply,offensive,0.9253156781196594
6851,1579149747796918272,Thomas Korfsmeier,"Natürlich ist es ein scheiß Kompromiss. Aber deswegen die Grünen volle Breitseite anzugreifen ist doch auch Blödsinn. Die tun was sie können. Sind aber in Koalitionen. Wenn wir das ändern wollen, dann brauchen die Grünen absolute Mehrheiten. FfF hat sie auch nicht. Leider! https://t.co/Zi33WWWVHF",2022-10-09,fff,quote,offensive,0.8768067359924316
8229,1575103985387638784,Schlueri,Nach Demo-Vorfall wirft sich Fridays for Future selbst Rassismus vor! \n👇\nUNBEDINGT DURCHLESEN 😂😩🤦‍♂️🤦‍♂️🤦‍♂️ https://t.co/c0gyKQN6uJ,2022-09-28,fff,retweet,offensive,0.5173617601394653
70688,1595395511929929734,Elfriede,"Einfach zusehen, wie die klimatischen Tippingpoints gerissen werden? Tatenlos ins verheerende gesellschaftliche Chaos rennen? \n\nDas ist für Fabian schon lange keine aushaltbare Alternative mehr! \n\nWie ist das für Dich? Kommst Du mit in den friedlichen Widerstand #FürAlle? https://t.co/cEnQK1aWUq",2022-11-23,lastgen,retweet,offensive,0.5208238363265991
68352,1596133674310852608,Angi Eleba,"Angriff auf BER.  Nach § 315 StGB wird ein gefährlicher Eingriff in den   Luftverkehr mit  Freiheitsstrafe bis 10 Jahren bestraft, in   minder schweren Fällen 3 Monate bis zu 5  Jahren. Greift Gesetz oder Narrenfreiheit für rotgrüne Vorfeldorgansiation? https://t.co/9N9GdghWf9",2022-11-25,lastgen,retweet,offensive,0.5558978915214539
71382,1594954067914403840,weddy82,"@AufstandLastGen @c_lindner Man stelle sich mal vor, ganz normale Bürger*innen würden mit dem gleichen Level an Aggression durch eine Regionalbahn laufen und den Leuten Masken ins Gesicht klatschen. Da wäre euer Geschrei groß. Sind auch Regeln, die verletzt werden. Hier ganz schlimm, da zu vernachlässigen.",2022-11-22,lastgen,reply,offensive,0.7229070663452148
21430,1539375763773956097,Bas van der Veen,"Ich stelle es mir ja auch hart vor, klimapolitischer Sprecher der FDP zu sein - aber das ist nun wirklich lächerlich. \n\nWenn Fridays For Future eines bewirkt hat, dann ist es eine historische Mehrheit für mehr Klimaschutz. Was fehlt, ist eine Regierung, die entsprechend handelt. https://t.co/ytpJEXAivo",2022-06-21,fff,retweet,offensive,0.9293791055679321
113860,1502755636479774724,@HeadSoccer@climatejustice.social,@MelnykAndrij @Jumpsteady @Bundeskanzler Geld für fossile Energie im Jahr 2022 ist eine tödliche Obszönität. \n\nWann beendet die Bundesregierung endlich diesen fossilen Wahnsinn?,2022-03-12,lastgen,retweet,offensive,0.9680134654045105
70763,1595320950785990656,Antonia Luther 😷🌱#AntiPro,"""Sie leisten jetzt gerade Widerstand gegen Vollstreckungsbeamte"".\nNein, definitiv nicht.\nUnd die Androhung von Schmerzen stellt einen Verstoß gegen die Europäische Menschenrechtskonvention dar. Die Unkenntnis vieler Polizist*innen ist erschreckend. \n#Polizeiproblem https://t.co/jaMJ15Wlyp",2022-11-23,lastgen,retweet,offensive,0.9435421824455261
112860,1514692224860180492,Barbara,"In Frankfurt verschüttet die #LetzteGeneration gezielt Öl auf einer Fahrbahn! Eine Radfahrerin stürzt und muss ins Krankenhaus. Was dürfen sich diese durchgeknallten Straftäter in unserem Land eigentlich noch alles erlauben? Was meinen Sie denn, Frau #Faeser?",2022-04-14,lastgen,retweet,offensive,0.695576548576355
85011,1588499165411041282,Hüter der Mark,"Nie vergessen: das grüne Bundeswirtschaftsministerium unterstützte die #LetzteGeneration mit Fördergeldern in Höhe von 156.420 Euro. Der Steuerzahler finanziert die #Klimaterroristen, die jetzt ein Todesopfer auf dem Gewissen haben. Die gehören in Haft, nicht finanziert!",2022-11-04,lastgen,retweet,offensive,0.6033432483673096
76446,1592139821132443648,Sina Amy,"@AufstandLastGen Ihr seid eine Sekte.\nWertlose Apologeten, die falschen Endzeitgurus folgen, die ihre düsteren Prognosen ""Wissenschaft"" nennen.\n\nDazu nötigt ihr Menschen und habt mittelbar mindestens schon ein Menschenleben auf dem Gewissen.\n\nLöscht Euch!",2022-11-14,lastgen,retweet,offensive,0.6124682426452637
75037,1592863955571310593,David | 𝖁𝖋𝕭,Da fällt einem nichts dazu ein… so verstrahlt.,2022-11-16,lastgen,quote,offensive,0.7764217853546143
