,id,author.name,text,created_at,protest,tweet_type,replies,retweets,quotes,likes,predicted_label,score
112552,1515242161004228612,Mohamed Aiman Ali,"Seit dem Weltklimabericht @IPCC_CH vom 4. April wurden gut 200 Menschen wegen friedlicher Aktionen des zivilen Ungehorsams festgenommen in Deutschland, darunter auch 33 Wissenschaftler*innen aller Disziplinen.\n\n@AufstandLastGen und SR fordern: Stoppt den fossilen Wahnsinn. 1/ https://t.co/u7shv3sIdv",2022-04-16,lastgen,retweet,9,119,9,349,offensive,0.5248674154281616
18931,1549189181770846208,Kaye Carlin,@Hazloe3 @ProfStrachan @ECOWARRIORSS @MsFowlersays @ChristineMilne @ristori20 @mzjacobson @charluv2011 @BSuhic @ddelich @elder_jodi @devindthorpe @AmazingChevVolt @enricomolinari @1o5CleanEnergy @climateguyw @PaulHBeckwith @StopAdaniCairns @leahstokes @debraruh @DanCas2 @armanwalker @Jackthelad1947 @HansLak @Klinkmi @seth_leitman @BreezyLovinInWV @GeraldKutney @CapaTosta122 @kirillklip @blanketcrap @AntonBoym @alexharteco @smoothsale @THEnergyNet @suemarietta @lehimesa @joesegal @GretaThunberg @treacl @Wipapa5 @SimonCocking @GraceMurphy2 @sminaev2015 @ManMet80 @hannahpbo @SaleemulHuq The Ferocious Face of a #Warming #Planet:\n#Fires🔥🔥🔥\nKindly RT\n\n#ClimateAction #ClimateCrisis\n#Carbon #Sustainability #SDGs\n#EnergyTransition #FridaysForFuture\n#ExtinctionRebellion #EndCoal\n#CleanChange #Pollution #CO2\n@mvollmer1 @Nicochan33 @Spoonhead8\nhttps://t.co/1KYZU15Gcm,2022-07-19,fff,retweet,28,466,22,390,offensive,0.7537074685096741
81939,1589300173112737793,Maik Körner,@AufstandLastGen @bao_asphalt Viel zu wenig 2 Jahre mindestens und danach in Ärtzlicher behandlung ! https://t.co/AaZvIBUGl0,2022-11-06,lastgen,reply,0,0,0,1,offensive,0.7895472049713135
68741,1596071860768497664,Liveyourdream - Ola ke ola,Gutes wollen und dabei Scheiße bauen? \nSo geht's https://t.co/rVwTbaxpm6,2022-11-25,lastgen,quote,0,0,0,0,offensive,0.5535409450531006
1927,1598755671712858112,@Twiff_bot 🌏 #Twiff,"Climate strike Bergen, Norway. #FridaysForFuture #ClimateJustice @fff_bergen https://t.co/XyGFjdMch7 https://t.co/4DTZbiWjKb",2022-12-02,fff,retweet,84,227,15,1098,offensive,0.7477508187294006
113016,1514591009409273862,Jannikku,@BMagens @Chris61065858 @AufstandLastGen Jo cool aber mit solchen Honks kommst halt einfach net weiter.,2022-04-14,lastgen,reply,1,0,0,2,offensive,0.5334699749946594
107504,1539335292963913729,Sayonara🕊🕊🕊,"@autumnleaves_72 @endingstory201 @AufstandLastGen Weil diese Generation feige ist und keinen Arsch in der Hose hat. Für sowas braucht es Mut, das hat die Generation Helikoptermutti /Hotel Mama nicht mehr. Wenn die Deppen dann wenigstens gar nichts machen würden...aber die leiden auch noch an notorischer Selbstüberschätzung.",2022-06-21,lastgen,reply,1,0,0,4,offensive,0.609381377696991
93097,1584305343605022721,Till Ohmann,@AufstandLastGen @ClimateHuman @ScientistRebel1 @Janefonda @MarkRuffalo @InsulateLove @TerliWetter @BlockadeAus @GeorgeMonbiot @OwenJones84 Ich habe nur noch Verachtung vor diesen Terroristen.\nGeht zur Schule und erlernt einen ehrenwerten Beruf.\nVerzogene Kinder😭,2022-10-23,lastgen,reply,0,0,0,0,offensive,0.6903280019760132
28129,1516075172029214726,karl klösschen,@Luisamneubauer Kennen Sie noch den? Fighting for peace is like fu** 4 virginity? War mal bei FFF als die noch was sinnvolles dachten,2022-04-18,fff,reply,0,0,0,0,offensive,0.518058180809021
60495,1600785444413014016,UlliKittelberger@social.anoxinon.de,"Entwarnung! Reichsbürger planten nur bewaffneten Umsturz, hatten aber nicht vor, sich irgendwo festzukleben \n#Razzia #Reichsbürger \nhttps://t.co/qiQnwchR94",2022-12-08,lastgen,retweet,312,2765,201,16002,offensive,0.5335234999656677
24327,1528347758440206336,Noname,"“A Milano sono stati denunciati e perquisiti tre attivisti di #FridaysforFuture, rei di aver scritto con una bomboletta ""Il gas fossile uccide"" e ""Basta affari con i dittatori"" fuori dalla sede di Centrex, una controllata dell'azienda russa #Gazprom”. Fonte: @DomaniGiornale",2022-05-22,fff,retweet,6,27,1,109,offensive,0.6380645632743835
105171,1542572627167944706,Manfred Herzog,"Können wir bitte bitte aufhören die #LetzteGeneration Aktivisten zu nennen? Es sind Straftäter, denn sie begehen Straftaten. Gefährlicher Eingriff in den Straßenverkehr ist weder lustig noch eine Lappalie.",2022-06-30,lastgen,retweet,34,156,4,774,offensive,0.6768873929977417
110519,1524710926481567748,VoffA,"@PMTdesignBERLIN @AufstandLastGen Während ich deinem ersten Satz zustimme, reihst du dich mit diesem unglaublich dummen Sharepic direkt hinter denen ein.",2022-05-12,lastgen,reply,1,0,0,1,offensive,0.754302442073822
104749,1543239878443499520,одинокий_господин,@AufstandLastGen @Falco28127874 Üble Umweltverschmutzung was ihr macht.,2022-07-02,lastgen,retweet,3,1,0,53,offensive,0.9168389439582825
57711,1602310693197414400,Florian,"@MilesHind @AufstandLastGen Es freut mich, dass Sie immerhin anerkennen, dass wir beim Klima ein Problem haben - in der AfD keine Selbstverständlichkeit. \nDas noch: Sie tragen mit ihrer politischen Wahl große Verantwortung für viel Leid, Hass und Hetze. Ich kann auch rational - aber wichtiger ist Empathie.",2022-12-12,lastgen,reply,1,0,0,0,offensive,0.6196427345275879
4553,1587713182738546693,Mistake Not ... My Vast Oceans Of Wrath,"@berlinerzeitung @AufstandLastGen @Luisamneubauer @FFF_Berlin Entweder die publicitygeile Dame ist der Presse in die Falle gegangen, oder sie ist wirklich so lahm … und so zynisch dumm.",2022-11-02,fff,reply,0,0,0,0,offensive,0.5526947379112244
35829,1503437792923238402,Llewelyn Pritchard MA,https://t.co/6uqhhxEVHg GATHERING EVIDENCE #IStandWithUkraine 🇺🇦 #PeaceNotWar #JohnsonLies #PeopleDie #CoverUp #Corruption #BrokeLockDownLaw #BrokeMinisterialCode #TrustInPolice #BetrayedVoters #NoShame #RussianToryDonors #Cash4Access #EndSARS #FridaysForFuture #JohnsonOut49,2022-03-14,fff,reply,1,1,0,0,offensive,0.5803924798965454
103986,1545091823625977856,Wollenaklarname ❌,"@Ver_Nunft @evilestmav @eingemaischt @kannstnixmachen @AufstandLastGen Stell dir vor, der ""feuchte Traum"" einiger der üblichen Verdächtigen, z.B. Gates, würde wahr.\nStaub in die Atmosphäre pusten, um die Erde abzukühlen.\nUnd dabei immer im Hinterkopf behalten, dass Klimadeppen in der Regierung gerade dafür sorgen, dass wir im Winter frieren könnten.",2022-07-07,lastgen,reply,1,0,0,0,offensive,0.6245639324188232
33223,1507272943851782185,Hazal,"@ali_doenmez Der üble Beigeschmack liegt dennoch darin, dass das eine Entscheidung war, in die PoC gar nicht einbezogen waren (weil es gar keine oder kaum welche gibt in der Ortsgruppe oder generell FFF Deutschland).",2022-03-25,fff,retweet,1,1,0,29,offensive,0.9371580481529236
77462,1591383866774016000,maxmü,@a_divas_rants Die werden doch direkt von den Ministerien finanziert :\nhttps://t.co/uz0oRoMpBF,2022-11-12,lastgen,reply,0,0,0,0,offensive,0.5635124444961548
97705,1572152432779567105,Michael Leh 🇩🇪 🇺🇸🇪🇺🇺🇦🇹🇼,"Woher nehmen die Chaoten von #LetzteGeneration eigentlich die Dreistigkeit, sich - ohne jegliche demokratische Legitimation - über tausende Menschen hinwegzusetzen, die durch ihre Straftaten blockiert werden? Gut so, dass der #Rechtsstaat sich das nicht bieten lässt. #Herrmann https://t.co/eSC3QPTMTW",2022-09-20,lastgen,retweet,141,24,8,379,offensive,0.7462172508239746
114366,1497536875476701185,Hartmut Voigt 🔴,"Alle Beteiligten befinden sich in Gewahrsam. Wann hören @Bundeskanzler &amp; die Regierung auf, den friedlichen Einsatz für das Leben zu bestrafen? Machen Sie Ihren Job — Hören Sie auf den @BuergerratKlima! Setzen Sie sich für das Überleben der Bevölkerung und die Menschlichkeit ein! https://t.co/xTvE5UyYOO",2022-02-26,lastgen,retweet,98,8,26,62,offensive,0.5640014410018921
108908,1531941145781182465,Jack Herer,"@steffen100 @Mineon_w_Heart @AlexanderGrevel @AufstandLastGen Es bringt nichts, sich auf Straßen zu kleben oder von Autobahnbrücken abzuseilen. Das ist absolut kontraproduktiv,  weil man mit Klimaaktivisten nur noch negatives assoziiert.  Selbst der Bundeskanzler ist schon genervt. Danke für nichts,  Freak- Aktivisten!",2022-06-01,lastgen,reply,0,0,0,1,offensive,0.5806589722633362
11443,1573221499569590272,Diba 🏳️,"What is happening with climate change, is happening a lot worse in Iran. The government only cares about extracting oil and nothing else. They don't treat people any better!\nIranians are fighting and being killed right now. Be our voice!\n#OpIran \n#مهسا_امینی \n #FridaysForFuture https://t.co/56Aa3U9eEf",2022-09-23,fff,original,1,39,0,39,offensive,0.5812391638755798
75514,1592644434742497281,Basti Lifts,"@AufstandLastGen @BenjaminRckrt @nopagby @lisapoettinger @ExtinctionR_DE @OMASGEGENRECHTS Erpressung der Regierung durch Zerstörung von Privateigentum nennt ihr Aktivismus? Ihr Schadet einzig und alleine der Allgemeinheit, die nichts dafür kann, was oben entschieden wird. Schämt ihr euch nicht? Ihr seid nicht ""die"" sondern ""das"" Letzte aber vor allem seid ihr ätzend.",2022-11-15,lastgen,reply,2,0,0,9,offensive,0.9277186989784241
81362,1589593595757363204,Rainer Dederichs🐕🐈🐓🦔,"@AufstandLastGen Absolut verantwortungslos, Kostüme aus 100% Polyester zu verwenden.\n\nPolyester wird aus  Steinkohle, Kalk, Erdöl und Erdgas hergestellt, also alles wogegen ihr seid https://t.co/er6vegP8nO",2022-11-07,lastgen,retweet,0,9,0,53,offensive,0.5948140621185303
51069,1605191893775798273,Revatex,"@Xxsilent_bossxx @AufstandLastGen „auch für die Vollidioten die euch hier in den Kommentaren beleidigen“\n🤣 herrlich, besser kann man sich selbst nicht parodieren",2022-12-20,lastgen,reply,0,0,0,1,offensive,0.5740082263946533
44120,1480643000795635718,Saraya,Komisch..#Lauterbach will sich von den Spaziergängern gegen #Corona nicht erpressen lassen...warum lässt die Politik sich das denn von #FFF gefallen? #HartaberFair,2022-01-10,fff,original,0,0,0,2,offensive,0.6448925733566284
40698,1490727421288624134,man is human,"#GlobalWarming  #ClimateChange #FridaysForFuture #ClimateStrike #Renewables #Greenwashing #ExtinctionRebellion #ClimateAction #ClimateCrisis \n\nTell the truth, a Renewable future will kill us all.\nRead real CO2 emissions with Data: https://t.co/spc8a6WdOr",2022-02-07,fff,retweet,0,5,0,4,offensive,0.5613659620285034
16918,1556388443676200967,FFF Bot,"2/x\n\n...ausgebrannte Brennelemente getroffen wurde.\n\nDie Situation wird als extrem gefährlich eingeschätzt, da es jederzeit zu weiteren Beschädigungen durch die Kampfhandlungen kommen kann.\n\nEs gibt Berichte, dass die russische Armee Artilleriemunition in...\n\n#FridaysForFuture https://t.co/tLBfU5RjFs",2022-08-07,fff,retweet,1,3,0,3,offensive,0.5939751863479614
4639,1587384257273643011,Gerd 🇪🇺🇵🇸🇺🇦 🏳️‍🌈🌍@GerdLende@oslo.town,Tim Louis: A dire warning about the end of human civilization due to climate feedback loops\n\n@PCarterClimate\n\nhttps://t.co/GIVQnzZjTG\n\n#FridaysForFuture\n#ClimateCrisis\n#ClimateStrike\n#ClimateDenial\n#EndFossilFuels\n#ClimateTalk\n#stopfossilfuel\n#ClimateChange\n#SavetheBees,2022-11-01,fff,retweet,3,6,1,7,offensive,0.8235355019569397
102693,1547087195458207747,Schnuffelschnu,Einen Menschen daran hindern zu einer Operation zu kommen - und das auch noch genießen. Was für zutiefst verachtenswerte Typen... \nQuelle: https://t.co/5cwkCxP1jn https://t.co/O5oRVa11db,2022-07-13,lastgen,retweet,59,142,18,766,offensive,0.9496669769287109
71061,1595081081673367555,Michael Djurkowitsch,Mit dem Auto zur Autobahn-Blockade. Wie lange will sich der Staat eigentlich noch von den Extremisten aus @AufstandLastGen\nauf der Nase herumtanzen lassen?\nhttps://t.co/jaby7ZTwiA,2022-11-22,lastgen,retweet,49,131,2,621,offensive,0.6846382021903992
82768,1588956328575537152,Dr c,@AufstandLastGen Ganz grosse Scheisse der Plsn,2022-11-05,lastgen,reply,0,0,0,2,offensive,0.8256686329841614
108986,1531621634980847616,Dali,"In Paris hat ein „Klimaaktivist“ die Mona Lisa mit einer Torte beworfen, nachdem er am Sicherheitsglas gescheitert war. In Deutschland terrorisiert uns die @AufstandLastGen. Nennen wir es doch beim Namen: Das sind keine Aktivisten, sondern Kriminelle! #monalisa #letztegeneration",2022-05-31,lastgen,retweet,11,13,0,136,offensive,0.7951081991195679
1968,1598700327401758720,Dr. TammyJo Eckhart's Edgy World,"@MaryLSchmidt What could you do when a job perk turns into a trap? Emily falls in love and then fights back for life, water, and rights. #sciencefiction #trilogy #darkromance #erotic #furries #femdom #FridaysForFuture #books #scifireads https://t.co/sMbrVBcosc https://t.co/Rt1sb3e8fX",2022-12-02,fff,reply,0,0,0,0,offensive,0.6208561658859253
47893,1606754811537416192,Tobias Bierbaum,@AufstandLastGen Für Mörder spenden😡🤮🤦 https://t.co/sjpDYpx5vr,2022-12-24,lastgen,reply,0,0,0,0,offensive,0.5432442426681519
18043,1552722381113905152,@PIPO124567,Hier ein Beispiel für Kritik an der eigenen Gruppe.\nhttps://t.co/lxi7wTjJKM,2022-07-28,fff,retweet,4,1,0,7,offensive,0.5448988676071167
49364,1605940788021673984,Travis Bickle,"@sh0cky79 @AufstandLastGen Unendlich peinlich, ne Schande für jeden Working Class Skinhead.",2022-12-22,lastgen,reply,0,0,0,0,offensive,0.9781076908111572
63923,1599038414354935808,Helmut Mägele,"„Man muss die Aktionen nicht kritiklos hinnehmen; soll man auch gar nicht.\nAber die Forderung bitte nur noch so zu protestieren, dass sich niemand gestört führt, ist nicht nur kontraproduktiv, sondern wissenschaftlich mind. zweifelhaft.“\n@astrodicticum\n\nhttps://t.co/weArZOSoSv",2022-12-03,lastgen,retweet,175,54,5,280,offensive,0.673886775970459
101084,1551994606262288386,Bernhard Steiert,"Unglaublich und unerträglich: Habecks Wirtschaftsministerium hat die Öko-Terroristen von „Letzte Generation“ mit 156.420 Euro Fördergeldern gesponsert. Damit sie den Steuerzahlern, die täglich brav zur Arbeit fahren, das Leben erschweren.\n\nhttps://t.co/TxcGMa2hnK https://t.co/s9ikMC5ekc",2022-07-26,lastgen,retweet,52,364,25,825,offensive,0.9791773557662964
64110,1598808859233366016,❄️ Banana Judge ❄️,"@prinz_tweet @AufstandLastGen @BenjaminRckrt Ach, die Erde dreht sich um die Sonne? Sie merken selber, dass Sie gerade absurd werden. Ich denke hier macht die Diskussion keinen Sinn mehr.",2022-12-02,lastgen,reply,1,0,0,1,offensive,0.779359757900238
68989,1596037173819711488,bettina,"Angriff auf BER.  Nach § 315 StGB wird ein gefährlicher Eingriff in den   Luftverkehr mit  Freiheitsstrafe bis 10 Jahren bestraft, in   minder schweren Fällen 3 Monate bis zu 5  Jahren. Greift Gesetz oder Narrenfreiheit für rotgrüne Vorfeldorgansiation? https://t.co/9N9GdghWf9",2022-11-25,lastgen,retweet,138,437,14,1538,offensive,0.5558978915214539
32774,1507352811830358021,FFF Bot,"100 Tage 🚦 sind vorbei.\n\nStatt Sofortmaßnahmen einzuleiten hat sie Klimaziele 2022 und 2023 aufgegeben.\n\nStatt fossile Subventionen zu beenden bezuschusst sie PKWs stärker.\n\nStatt den Energieverbrauch zu senken, bauen wir LNG-Terminals.\n\n""Zeitenwende"" my ass. #FridaysForFuture",2022-03-25,fff,retweet,84,141,7,681,offensive,0.7213725447654724
55086,1602809984152211456,Joseph Tschutschik,"@AufstandLastGen Ihr seids so ... wie kann man sich so für eine gute idee aber solch absolut dummendämlichen Aktionen einspannen lassen...\nDie Mächtigen anklagen und gleichzeitig die Menschen missachten, sinnlos Abgase produzieren unter dem Banner für Klimaschutz 😂 ihr werdet benutzt!",2022-12-13,lastgen,reply,0,0,0,0,offensive,0.7458177208900452
53625,1603288392753709057,N0vA,"Hand hoch, wer die #LetzteGeneration doof findet https://t.co/2WgWxPIdbF",2022-12-15,lastgen,retweet,397,191,19,3647,offensive,0.5771163702011108
83143,1588856197691879424,Gunter Herold,"@zodiack79 @Perowinger94 Alleine die Tatsache, dass Du darauf anspringst, war für die Aktivisten das Kleben wert;-) Ich halte das auch für den falschen Weg, in der Sache hat die #LetzteGeneration allerdings leider recht.",2022-11-05,lastgen,reply,1,0,0,0,offensive,0.8671362400054932
4702,1587061925535416321,Lars Nötzold,Verrückte der Klimawahnsekten #LetzteGeneration #FFF wollen das verletzten Menschen nicht geholfen wird! #Berlin wird immer bekloppter und gefährlicher! Wann unternimmt die faule Sau #Geisel was gegen die Irren! #Wilmersdorf #Idioten #Assis #Arschlöcher,2022-10-31,fff,original,0,0,0,0,offensive,0.8327896595001221
3077,1593517752437858304,Jyoti 🦜😺 WatchDominion.com 🐷🐔🐶Go Vegan🐱🐭🐰🐯🐸🐵🦁🐮🐻🦉🐴,@PmjeRb @RazakiSabi go #Vegan for #ClimateAction #ClimateCrisis #TogetherForImplementation #COP27\n\nConsuming #Animal #Slaughter products during #Climate #Emergency is #hypocrisy\n\nhttps://t.co/Y6uFkkFUcx\n\n#FridaysForFuture,2022-11-18,fff,quote,0,0,0,0,offensive,0.8112764954566956
19440,1546914296659120131,Friederike Schiller 💪👀👂#WeAreSovereign,"200.000 Menschen in #Berlin ohne Maske bei #Loveparade hinterlassen 135 Kubikmeter Müll. Wie war das mit #Corona,  #FridaysForFuture , #Umweltschutz, Müllvermeidung ? Wir werden von diesem #SPD Linke #Grüne Senat in Berlin nur noch veräppelt.",2022-07-12,fff,retweet,34,128,4,821,offensive,0.6800110936164856
16056,1559551902362341378,Detlef Alwes,@somewheredense @TravelandFood82 @AufstandLastGen @FFF_Rostock @eg_rostock @RostockVcd @xrRostock @Greenpeace__HRO Auch irre!,2022-08-16,fff,reply,0,0,0,0,offensive,0.5338308215141296
70179,1595785492527824898,@HeadSoccer@climatejustice.social,@l_m_s15 @AufstandLastGen @bao_asphalt Und das tun diese Menschen ja. Sie stehen mit Namen und Gesicht zu ihren Taten. Daher ist eine Hausdurchsuchung auch komplett albern.,2022-11-24,lastgen,reply,1,0,0,6,offensive,0.8758520483970642
62584,1599799513400475652,Petra Schediwy,"@AufstandLastGen Sehr gefährliche Aktion, doch auch verständlich, Poltiker hören nicht zu, das Volk ist ihnen egal, nur krasse Aktionen bringen Aufmerksamkeit! Und zum Thema Gewalt: der einzige, der sich hier äußerst gewalttätig zeigt, ist der Polizist durch sein Handeln und seine Drohungen",2022-12-05,lastgen,reply,0,0,0,0,offensive,0.9915351867675781
17469,1554581037304487936,Stefan Klix | @stefanklix@mastodon.green,"Stirbt die Menschheit aus? Die schlimmstmögliche Folge der Erderhitzung würde zu wenig untersucht, kritisieren Kli­ma­for­sche­r:in­nen. https://t.co/Gg4ub1MAWR",2022-08-02,fff,retweet,1,7,2,36,offensive,0.7109920978546143
83591,1588703913855062024,Hans-Jürgen Rock,"Heute wird die Torstraße, eine der Hauptausfahrtsstraßen der Charité, blockiert. \nKrankenwagen und Notfallpatienten sind ja bekanntlich Klimakiller.\n\n#LetzteGeneration #Berlin https://t.co/7si7217BDV",2022-11-05,lastgen,retweet,110,225,19,1098,offensive,0.6835066676139832
74256,1593173563212967938,Caljinaar,"Weil sich @Markus__Lanz ggü. @rochel_carla etwas stümperhaft verhielt, wird er nun dafür verlacht, auf Klimaanpassung hingewiesen zu haben. Kaum einer hinterfragt hingegen die apokalyptischen Aussagen von @AufstandLastGen. Das kann so nicht stehen bleiben. Ein 🧵",2022-11-17,lastgen,retweet,46,316,64,1453,offensive,0.802025318145752
40985,1489749029613293570,Mikaela Annika,"School strike week 181 in Jokkmokk to protest against the proposed mine in Gállok. This mine would be devastating for  climate, environment and indigenous rights. Sweden must end the colonisation of Sápmi!\n#FridaysForFuture #PeopleNotProfit #NoMineInGállok #StandWithSápmi https://t.co/Dz2E2Q4gGz",2022-02-04,fff,retweet,185,2060,123,10318,offensive,0.638979971408844
100304,1560396195205357568,Dr. Dynamite,@Martha_LastGen @RaphaelKnipping @AufstandLastGen Du verklagst ja nicht den Polizisten sondern die Polizei an sich.,2022-08-18,lastgen,reply,1,0,0,6,offensive,0.6094544529914856
112851,1514697931642884098,Theo Thewenth,"In Frankfurt verschüttet die #LetzteGeneration gezielt Öl auf einer Fahrbahn! Eine Radfahrerin stürzt und muss ins Krankenhaus. Was dürfen sich diese durchgeknallten Straftäter in unserem Land eigentlich noch alles erlauben? Was meinen Sie denn, Frau #Faeser?",2022-04-14,lastgen,retweet,259,1141,53,5165,offensive,0.695576548576355
50872,1605358141285072897,"Die Hoffnung, der Schlaf und das Lachen","@Schnapskartell @HolzheuStefan Sollte unsere Empörung nicht jenen gelten, deren Profitgier und Ignoranz aller wissenschaftlichen Warnungen unsere Lebensbedingungen auf diesem Planeten zerstören?\nUnd nicht den #Aktivisten der @AufstandLastGen  die uns vor den Folgen der drohenden #Klimakatastrophe warnen!",2022-12-21,lastgen,reply,0,0,0,3,offensive,0.5808348059654236
88296,1587768049855250432,Dianapowves #JustStopOil #NoNewOil 🌍💚,"Mal #Klartext:\nDie Regierung hat das nicht im Griff! \n\nWir besprühen die Berliner Zentralen der SPD, Grünen und FDP, weil die Ampel keinen Plan hat gegen den #Klimakollaps.\n\nIhre Weigerung, das zuzugeben, bringt uns in Gefahr.\nWir nehmen das nicht hin!\n\n1/4 https://t.co/5DLeoeWn4w",2022-11-02,lastgen,retweet,950,168,163,1143,offensive,0.6137434840202332
19398,1547234564183138304,Ali Said,"Stimmt, ist nicht klug, aber:\n\nWie dämlich muss man eigentlich sein, seinen Planeten und die Lebensgrundlagen ungebremst in die Klimakatastrophe rasen zu lassen? \n\n#Klimakrise #LetzteGeneration #FFF #Hitzewelle @GretaThunberg  @Luisamneubauer https://t.co/I8off8giqk",2022-07-13,fff,retweet,14,6,2,73,offensive,0.792097270488739
60051,1600894916434894848,@hirntote@troet.cafe,"Das dröhnende Schweigen großer Teile der Union zu den Putschplänen der #Reichsbuerger und anderer Rechtsradikaler, steht in einem krassen Missverhältnis zur hysterischen Kritik mancher handelnden Personen an @AufstandLastGen.",2022-12-08,lastgen,retweet,149,108,7,754,offensive,0.5045798420906067
